AIDP,ID,GENDER,NATIONALITY,MOHAFAZA,MAJOR_DESC,UG/GR,Med Student (Yes/No),New Student (Yes/No),GPA,Column1,TUITION,FATHER_STATUS,FATHER_JOB_STATUS,FATHER_INCOME,MOTHER_STATUS,MOTHER_JOB_STATUS,MOTHER_INCOME,SIBLING_AUB,SIBLING_UNIVERSITY,SIBLING_SCHOOL,TOTAL_SIBLING_INCOME,OTHER_RESOURCE,Othere resources (yes/no),STUDENT_STATMENT,Student statement (applicaple/non applicable),PERC,Main priorities,High/low priorities,ACAD_STAND
FA,1985,F,Lebanon,South,Biology,UG,No,Yes,,,11625,Married,Retired,21728,Married,Employed,23272,0,0,2,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,1986,F,Lebanon,Bekaa,Mathematics Science,GR,No,No,,,5826,Married,Employed,50634,Married,UnEmployed,0,0,1,0,0,"
educational benefits",yes,none,non applicable,0,priority 4,0,Good Standing
FA,1987,F,Lebanon,Nabatieh,Civil Engineering,UG,No,Yes,,,13110,Married,Self-Employed,0,Married,UnEmployed,0,0,0,3,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,1988,M,Lebanon,Nabatieh,Mechanical Engineering,UG,No,Yes,,,13110,Married,Employed,10800,Married,Employed,21000,0,1,1,0,none,no,none,non applicable,35,priority 3,1,Good Standing
FA,1989,M,Lebanon,Mount Lebanon,Computer Science,UG,No,Yes,,,11625,Married,Employed,100000,Married,Employed,12000,0,0,1,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,1991,M,Lebanon,North,Biology,UG,No,Yes,,,11625,Married,UnEmloyed,0,Married,UnEmployed,0,1,0,0,0,"
Income from Land, around 30,000 usd/year",yes,"
This application is being submitted upon the request of AUB, after granting me a 50% Merit Scholarship",applicable,50,priority 2,1,Good Standing
FA,1992,F,Lebanon,North,Health Communication,UG,No,Yes,,,12210,Married,Retired,0,Married,Never Worked,0,0,0,3,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,1993,F,Lebanon,Mount Lebanon,Majorless,UG,No,Yes,,,9503,Married,Employed,42000,Married,UnEmployed,0,0,0,1,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,1994,M,Lebanon,South,Biology,UG,No,Yes,,,11625,Married,Employed,0,Married,Never Worked,0,0,0,3,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,1995,F,Lebanon,Bekaa,Biology,UG,No,Yes,,,11625,Divorced,Employed,47458,Divorced,Never Worked,0,0,0,1,0,Educational Benefits,yes,"My Father has to pay for more than one family's expenses. Hence, my parents are divorced.",applicable,35,priority 3,1,Good Standing
FA,1996,F,Lebanon,Mount Lebanon,Architecture,UG,No,No,85.3,A-,13110,Married,Self-Employed,10000,Married,Employed,51000,0,0,2,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,1997,M,Lebanon,South,Majorless,UG,No,No,2.1,C+,9789,Married,Employed,46000,Married,UnEmployed,0,0,1,2,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,1998,F,Palestine,Beirut,Nursing,UG,No,Yes,,,8764,Married,Self-Employed,3600,Married,UnEmployed,0,0,0,0,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,1999,M,Lebanon,South,Engineering Management,GR,No,No,,,9855,Married,Employed,1040,Married,Employed,582,0,0,1,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,2001,F,Lebanon,Beirut,Business Administration,UG,No,No,73.8,B-,12690,Married,Self-Employed,45000,Married,UnEmployed,0,0,1,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2002,M,Lebanon,Nabatieh,Civil Engineering,UG,No,Yes,,,13110,Married,Employed,25000,Married,SelfEmployed,8000,1,1,0,0,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,2003,F,Lebanon,Mount Lebanon,Nutrition,GR,No,Yes,,,9369,Married,Employed,5400,Married,Never Worked,0,0,0,1,15400,"when i used to be at usek, i applied to APJ NGO, & they used to help me with 1500$/year which was then increased to 2000$/year",yes,none,non applicable,0,priority 4,0,Good Standing
FA,2004,M,Syria,n/a,Mathematics Science,UG,No,Yes,,,11625,Married,Employed,8000,Married,Never Worked,0,0,1,2,0,"
Family help",yes,none,non applicable,0,priority 4,0,Good Standing
FA,2005,F,Lebanon,Mount Lebanon,Microbiology & Immunology,GR,No,No,,,9279,Married,Employed,24403.18,Married,Employed,19893.9,1,0,1,0,none,no,"My father will retire in 2 years even before my brother finishes his education.
(Refer to the section related to my father for the support).
I am currently taking a student loan through AUB.",applicable,20,priority 3,0,Good Standing
FA,2006,M,Lebanon,Mount Lebanon,Computer Science,UG,No,Yes,,,9300,Married,Employed,89725,Married,UnEmployed,0,0,0,0,0,Income from rent on assets,yes,"
I am ready to work and study at the same time in order to help my dad pay AUB fees. My dad is an employee.",applicable,30,priority 3,0,Good Standing
FA,2007,F,Lebanon,Mount Lebanon,Engineering Management,GR,No,No,81.7,B+,6318,Deceased,UnEmloyed,0,Widowed,Never Worked,0,0,2,0,24000,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2008,M,Nigeria,0,Education,UG,No,Yes,,,4386,Married,Self-Employed,0,Deceased,SelfEmployed,0,0,0,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2009,F,Palestine,Beirut,Master of Public Health,GR,No,Yes,,,13719,Married,Self-Employed,5000,Divorced,SelfEmployed,4800,0,1,3,9000,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2010,M,Syria,n/a,Mechanical Engineering,UG,No,Yes,,,13110,Married,Self-Employed,60000,Married,UnEmployed,0,0,0,5,0,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,2012,F,Lebanon,South,Business Administration,UG,No,No,2.6,B-,12690,Married,Employed,36000,Married,Never Worked,0,0,0,1,0,none,no,none,non applicable,25,priority 3,0,Good Standing
FA,2013,F,Lebanon,Beirut,Business Administration,UG,No,Yes,,,12690,Married,Employed,31520,Married,Employed,40440,1,0,0,0,none,no,KINDLY NOTE THAT THE HOUSE WE OWN IS MORTGAGED,applicable,20,priority 3,0,Good Standing
FA,2015,M,Nigeria,n/a,Chemistry,GR,No,Yes,,,5826,Married,Retired,60,Married,Employed,70,0,1,2,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2016,F,Lebanon,Beirut,Finance,GR,No,Yes,,,6378,Married,Self-Employed,0,Married,Employed,0,0,0,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2017,F,United States of America,Nabatieh,Majorless,UG,No,No,2.1,C+,8772,Married,Self-Employed,20000,Married,Never Worked,0,0,1,0,0,Family help,yes,none,non applicable,20,priority 3,0,Good Standing
FA,2018,F,Lebanon,South,Environmental Health,GR,No,Yes,,,9297,Married,Employed,9600,Married,UnEmployed,0,0,0,2,0,My second sibling benefits from governmental support due to her current class (primary cycle),yes,My grandmother lives with us and participates in the family expenses.,applicable,0,priority 4,0,Good Standing
FA,2020,M,Lebanon,Mount Lebanon,Medical Laboratory Sciences,UG,No,Yes,,,10582,Married,Employed,32271,Married,UnEmployed,0,0,0,1,0,50% Educational Benefit,yes,none,non applicable,25,priority 3,0,Good Standing
FA,2021,F,Lebanon,South,Food Science & Management,UG,No,Yes,,,11835,Married,Employed,33000,Married,Never Worked,5,0,0,0,5,none,no,"
since my father mohammad madani 58 years old is a diabetic patient and his medical expenses are expensive our family is going through hard financial issues.",applicable,25,priority 3,0,Good Standing
FA,2022,M,Syria,n/a,Business Administration,UG,No,No,81.3,B+,12690,Divorced,Retired,0,Divorced,UnEmployed,0,0,0,0,42827,none,no,none,non applicable,20,priority 3,0,Good Standing
FA,2023,M,Lebanon,Beirut,M.Human Resource Management,GR,No,Yes,,,6378,Married,Self-Employed,9600,Married,UnEmployed,0,0,0,0,9600,I only receive a 50% Merit-Based Scholarship from the American University of Science and Technology - AUST.,yes,none,non applicable,0,priority 4,0,Good Standing
FA,2024,F,Lebanon,Beirut,Civil Engineering,GR,No,Yes,,,3285,Married,Retired,0,Married,Never Worked,0,0,0,0,24000,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2025,M,Lebanon,Mount Lebanon,Economics,UG,No,Yes,,,10965,Married,Employed,24594,Married,Employed,26170,1,0,1,0,"annual State financial aid  from state  for ray grade 6 (1168$) tuition fee (3894 $)
Oscar civil engineering Aub (10200$) tuition fee (34000$)
alain grade 12 (1386$) tuition fee (4620$)",yes,none,non applicable,30,priority 3,0,Good Standing
FA,2026,M,Lebanon,Mount Lebanon,Majorless,UG,No,Yes,,,11295,Married,Employed,72000,Married,Never Worked,0,2,0,0,0,rent,yes,none,non applicable,20,priority 3,0,Good Standing
FA,2027,M,Lebanon,South,Biology,UG,No,Yes,,,10075,Married,Retired,22800,Married,Employed,54000,0,1,0,0,Rent,yes,"Family dependence, namely grandparents. (monthly financial support).",applicable,0,priority 4,0,Good Standing
FA,2028,M,Lebanon,South,Medical Laboratory Sciences,UG,No,No,3.6,A-,12210,Married,Self-Employed,42000,Married,Never Worked,0,0,0,0,0,none,no,"
I have two siblings that finished studying in their universities but haven't found jobs yet",applicable,25,priority 3,0,Good Standing
FA,2031,M,Lebanon,Beirut,Business Administration,UG,No,Yes,,,12690,Deceased,UnEmloyed,0,Widowed,SelfEmployed,15000,2,3,3,15000,none,no,none,non applicable,30,priority 3,0,Good Standing
FA,2032,F,Lebanon,0,Civil Engineering,UG,No,Yes,,,13110,Married,Self-Employed,0,Married,SelfEmployed,0,0,0,0,0,none,no,none,non applicable,0,priority 4,0,Good Standing
FA,2033,M,Lebanon,Beirut,Business Administration,UG,No,Yes,,,12690,Married,UnEmloyed,0,Married,UnEmployed,0,1,0,1,0,"
Savings",yes,none,non applicable,0,priority 4,0,Good Standing
FA,2034,F,Lebanon,North,M.Busines Analytics,GR,No,Yes,,,6378,Married,Retired,0,Married,Retired,21500,0,0,0,0,My Income,yes,none,non applicable,0,priority 4,0,Good Standing
MEDI,2035,M,Lebanon,Nabatieh,Medicine,GR,Yes,No,,,40948,Married,Employed,103775,Married,Employed,46301,2,0,1,0,"
Bonuses and accommodation allowance",yes,none,non applicable,0,priority 4,0,Good Standing
MEDI,2036,M,Lebanon,Mount Lebanon,Medicine,GR,Yes,No,,,40948,Married,UnEmloyed,12000,Married,UnEmployed,0,1,0,0,0,none,no,none,non applicable,35,priority 3,1,Good Standing
MEDI,2037,M,Lebanon,Mount Lebanon,Medicine,GR,Yes,No,,,40948,Married,Employed,7920,Married,Employed,11881,0,2,0,0,none,no,none,non applicable,30,priority 3,0,Good Standing
MEDI,2038,F,Lebanon,South,Medicine,GR,Yes,No,,,40948,Married,Employed,37600,Married,UnEmployed,0,1,0,0,0,"
Family help",yes,none,non applicable,30,priority 3,0,Good Standing
MEDI,2039,F,Lebanon,Beirut,Medicine,GR,Yes,No,,,40948,Married,Employed,129310,Married,UnEmployed,0,1,0,1,0,none,no,none,non applicable,0,priority 4,0,Good Standing
MEDI,2040,F,Lebanon,Beirut,Medicine,GR,Yes,No,,,40948,Married,Employed,36523,Married,UnEmployed,0,0,1,1,0,none,no,none,non applicable,30,priority 3,0,Good Standing
MEDI,2041,F,Lebanon,Beirut,Medicine,GR,Yes,No,,,40948,Married,Employed,8322,Married,UnEmployed,0,0,1,0,0,Educational Benefits for student 1,yes,none,non applicable,30,priority 3,0,Good Standing
MEDI,2042,F,Lebanon,Mount Lebanon,Medicine,GR,Yes,No,,,40948,Married,UnEmloyed,0,Married,Employed,14400,0,0,2,0,none,no,none,non applicable,20,priority 3,0,Good Standing
MEDI,2043,M,Lebanon,Beirut,Medicine,GR,Yes,No,,,40948,Married,Self-Employed,46283,Married,Employed,20065,0,1,1,0,none,no,none,non applicable,25,priority 3,0,Good Standing
